doc_id,source_path,source_sha,chunk_id,chunk_index,chunk_count,doc_class,language,content,last_sync_iso
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_0,0,41,spec,lua,"# game_walking/walking.lua
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_1,1,41,spec,lua,"## Overview

Moduł Lua zawierający funkcje i logikę dla walking.
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_2,2,41,spec,lua,"## Globals/Exports
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_3,3,41,spec,lua,"### `smartWalkDirs`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_4,4,41,spec,lua,"### `turnKeys`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_5,5,41,spec,lua,"### `smartWalkDirs`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_6,6,41,spec,lua,"## Functions
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_7,7,41,spec,lua,"### `init()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_8,8,41,spec,lua,"### `terminate()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_9,9,41,spec,lua,"### `bindKeys()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_10,10,41,spec,lua,"### `unbindKeys()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_11,11,41,spec,lua,"### `enableWSAD()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_12,12,41,spec,lua,"### `disableWSAD()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_13,13,41,spec,lua,"### `bindWalkKey(key, dir)`

**Parametry:**

- `key`
- `dir`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_14,14,41,spec,lua,"### `unbindWalkKey(key)`

**Parametry:**

- `key`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_15,15,41,spec,lua,"### `bindTurnKey(key, dir)`

**Parametry:**

- `key`
- `dir`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_16,16,41,spec,lua,"### `unbindTurnKey(key)`

**Parametry:**

- `key`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_17,17,41,spec,lua,"### `stopSmartWalk()`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_18,18,41,spec,lua,"### `changeWalkDir(dir, pop)`

**Parametry:**

- `dir`
- `pop`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_19,19,41,spec,lua,"### `smartWalk(dir, ticks)`

**Parametry:**

- `dir`
- `ticks`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_20,20,41,spec,lua,"### `canChangeFloorDown(pos)`

**Parametry:**

- `pos`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_21,21,41,spec,lua,"### `canChangeFloorUp(pos)`

**Parametry:**

- `pos`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_22,22,41,spec,lua,"### `onPositionChange(player, newPos, oldPos)`

**Parametry:**

- `player`
- `newPos`
- `oldPos`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_23,23,41,spec,lua,"### `onWalk(player, newPos, oldPos)`

**Parametry:**

- `player`
- `newPos`
- `oldPos`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_24,24,41,spec,lua,"### `onTeleport(player, newPos, oldPos)`

**Parametry:**

- `player`
- `newPos`
- `oldPos`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_25,25,41,spec,lua,"### `onWalkFinish(player)`

**Parametry:**

- `player`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_26,26,41,spec,lua,"### `onCancelWalk(player)`

**Parametry:**

- `player`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_27,27,41,spec,lua,"### `walk(dir, ticks)`

**Parametry:**

- `dir`
- `ticks`
",2025-10-09T10:29:06Z
lua-spec-4dde195958eb,game_walking/walking.lua,3ead5ec,lua-spec-4dde195958eb_28,28,41,spec,lua,"### `turn(dir, repeated)`

**Parametry:**

- `dir`
- `repeated`
",2025-10-09T10:29:06Z
